time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-02-25,15.9,8.7,0.8,1.6300000000000001
2025-02-26,12.4,8.1,0.4,2.44
2025-02-27,14.6,6.7,0.0,2.5
2025-02-28,16.5,4.9,0.0,2.19
2025-03-01,15.6,9.0,0.30000000000000004,1.6300000000000001
2025-03-02,18.0,8.9,0.8999999999999999,2.62
2025-03-03,17.6,7.4,0.0,2.52
2025-03-04,16.4,6.1,0.0,2.63
2025-03-05,15.9,4.9,0.0,2.4699999999999998
2025-03-06,15.7,7.7,5.300000000000001,2.45
2025-03-07,13.4,8.0,6.4,1.12
2025-03-08,17.2,7.1,0.0,2.4
2025-03-09,20.2,8.4,5.0,2.7399999999999998
2025-03-10,19.8,8.1,0.7000000000000001,3.07
2025-03-11,18.9,8.4,0.0,2.7199999999999998
2025-03-12,14.6,8.9,12.6,0.84
2025-03-13,18.1,8.2,5.5,2.59
2025-03-14,19.5,10.8,2.0,3.0
2025-03-15,16.3,7.2,3.0,2.56
2025-03-16,14.2,5.4,0.0,2.7600000000000002
2025-03-17,15.4,5.2,2.1,2.48
2025-03-18,15.3,8.4,0.0,2.39
2025-03-19,15.5,6.8,0.0,2.91
2025-03-20,16.3,10.6,0.0,2.15
2025-03-21,17.3,10.0,0.0,2.25
2025-03-22,21.5,12.1,0.0,3.14
2025-03-23,17.8,9.1,0.0,3.01
2025-03-24,17.4,8.4,4.8,2.75
2025-03-25,16.1,7.7,0.9,2.96
2025-03-26,14.8,6.9,3.0,2.68
2025-03-27,16.2,6.3,0.30000000000000004,2.85
2025-03-28,15.9,7.9,1.5,2.68
2025-03-29,14.2,9.2,1.7000000000000002,2.35
2025-03-30,19.1,8.7,0.7000000000000001,3.2
2025-03-31,19.9,7.5,0.30000000000000004,3.47
2025-04-01,17.0,5.6,0.0,3.33
2025-04-02,16.9,7.1,0.9,2.9699999999999998
2025-04-03,20.3,7.3,0.0,3.87
2025-04-04,21.0,8.2,0.0,4.0600000000000005
2025-04-05,21.9,7.6,0.0,4.28
2025-04-06,25.7,9.6,0.0,4.43
2025-04-07,23.4,11.4,0.6000000000000001,3.87
2025-04-08,19.1,13.9,2.3000000000000003,2.64
2025-04-09,18.6,11.6,0.7000000000000001,2.49
2025-04-10,17.1,10.4,0.0,3.17
2025-04-11,16.1,12.6,0.0,1.53
2025-04-12,17.2,11.6,0.0,3.01
2025-04-13,20.0,11.2,0.0,2.75
2025-04-14,19.2,11.4,0.0,3.56
2025-04-15,21.9,12.2,0.0,3.1
2025-04-16,19.3,13.6,0.6000000000000001,3.44
2025-04-17,17.5,12.6,0.6000000000000001,3.0500000000000003
2025-04-18,19.2,12.1,1.0,3.62
2025-04-19,15.8,12.6,4.3999999999999995,1.74
2025-04-20,16.7,12.1,6.6,2.81
2025-04-21,18.1,11.8,2.3000000000000003,3.2
2025-04-22,21.8,13.1,1.8,3.85
2025-04-23,17.4,12.6,4.4,3.5500000000000003
2025-04-24,17.3,12.8,8.299999999999999,3.3
2025-04-25,18.8,12.4,0.0,3.54
2025-04-26,18.1,11.5,0.6000000000000001,2.5300000000000002
