time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,Date
2025-03-13,18.0,9.7,6.5,2.41,
2025-03-14,20.2,12.0,15.0,2.94,
2025-03-15,16.9,8.4,6.8,2.01,
2025-03-16,15.1,6.5,0.0,2.64,
2025-03-17,16.7,6.5,1.9,1.76,
2025-03-18,16.5,8.5,0.0,2.56,
2025-03-19,16.7,8.5,0.0,2.48,
2025-03-20,17.8,12.5,0.1,2.6,
2025-03-21,18.2,12.9,0.0,2.77,
2025-03-22,21.4,12.8,0.3,3.28,
2025-03-23,19.3,10.5,0.1,3.09,
2025-03-24,18.1,9.3,9.5,2.63,
2025-03-25,17.5,8.1,0.4,2.82,
2025-03-26,16.3,8.0,4.3,2.39,
2025-03-27,17.34,7.653333333333333,1.6205741626794261,2.660290909090909,2025-03-27
2025-03-28,16.240000000000002,9.053333333333333,1.9807017543859655,2.67,2025-03-28
2025-03-29,13.44,5.953333333333333,0.7202551834130784,2.961272727272727,2025-03-29
2025-03-30,17.64,6.053333333333333,0.5401913875598087,2.4078545454545455,2025-03-30
2025-03-31,18.04,8.153333333333332,0.0,3.184581818181818,2025-03-31
2025-04-01,19.34,6.953333333333333,0.0,3.2719636363636364,2025-04-01
2025-04-02,18.24,6.253333333333333,0.0,2.941854545454545,2025-04-02
2025-04-03,20.74,7.853333333333333,0.0,3.8447999999999998,2025-04-03
2025-04-04,22.74,8.153333333333332,0.0,4.097236363636363,2025-04-04
2025-04-05,24.24,8.953333333333333,0.0,4.077818181818182,2025-04-05
2025-04-06,22.44,10.153333333333332,0.0,3.9030545454545456,2025-04-06
2025-04-07,20.34,9.953333333333333,0.0,3.4661454545454546,2025-04-07
2025-04-08,23.04,12.353333333333332,0.0,3.9127636363636364,2025-04-08
2025-04-09,22.24,13.753333333333334,0.0,3.8545090909090907,2025-04-09
2025-04-10,22.24,15.053333333333335,0.0,3.3496363636363635,2025-04-10
2025-04-11,21.94,13.653333333333332,0.0,3.679745454545454,2025-04-11
