time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-02-25,16.1,8.2,0.0,1.54
2025-02-26,12.4,8.7,0.9,2.48
2025-02-27,14.1,7.1,0.0,2.5
2025-02-28,16.5,4.9,0.0,2.19
2025-03-01,14.9,9.0,1.1,1.49
2025-03-02,18.1,9.1,0.1,2.57
2025-03-03,17.8,7.4,0.0,2.54
2025-03-04,16.5,5.8,0.0,2.69
2025-03-05,15.8,4.9,0.5,2.4
2025-03-06,15.2,7.8,6.6,2.25
2025-03-07,12.9,8.4,1.6,1.1
2025-03-08,17.5,7.4,0.0,2.58
2025-03-09,19.4,8.2,2.7,2.43
2025-03-10,18.5,8.2,0.5,2.75
2025-03-11,18.9,8.6,0.1,2.5100000000000002
2025-03-12,14.1,9.1,15.8,0.86
2025-03-13,17.6,8.2,1.9,2.61
2025-03-14,18.5,10.9,0.9,2.52
2025-03-15,15.8,7.8,4.8,1.91
2025-03-16,14.6,5.3,0.30000000000000004,2.73
2025-03-17,14.6,5.6,2.6999999999999997,2.19
2025-03-18,16.2,8.1,0.0,2.35
2025-03-19,15.3,6.6,0.0,2.79
2025-03-20,16.6,10.1,0.0,2.22
2025-03-21,17.0,10.4,0.0,2.42
2025-03-22,20.2,12.4,0.0,3.25
2025-03-23,16.7,8.9,0.0,2.74
2025-03-24,17.5,8.1,4.8,2.9
2025-03-25,15.8,8.0,1.8,2.79
2025-03-26,15.0,7.0,5.4,2.69
2025-03-27,16.4,6.3,1.5,2.88
2025-03-28,15.6,7.8,0.0,3.07
2025-03-29,14.6,8.9,0.9,2.72
2025-03-30,18.8,8.4,0.0,3.6
2025-03-31,17.5,7.6,0.0,2.7600000000000002
2025-04-01,15.6,5.7,0.0,3.37
2025-04-02,19.0,6.2,0.0,3.33
2025-04-03,20.4,8.1,0.0,3.73
2025-04-04,20.6,7.2,0.0,4.06
2025-04-05,23.0,7.7,0.0,4.21
2025-04-06,23.0,9.0,0.0,4.47
2025-04-07,20.4,8.6,0.0,3.5300000000000002
2025-04-08,21.1,10.4,0.0,3.9
2025-04-09,21.0,10.8,0.0,3.91
2025-04-10,18.7,11.4,1.8,2.13
2025-04-11,22.0,12.6,0.0,3.72
2025-04-12,23.7,14.2,0.5,3.3
2025-04-13,16.5,9.7,0.1,3.66
2025-04-14,15.6,9.4,5.4,2.69
2025-04-15,17.1,10.4,5.3999999999999995,2.94
2025-04-16,18.4,11.4,0.0,3.49
2025-04-17,17.8,12.1,0.0,3.45
2025-04-18,17.5,10.8,0.6000000000000001,3.3
2025-04-19,15.1,9.3,0.0,2.15
2025-04-20,16.4,7.8,0.0,4.11
2025-04-21,16.5,7.7,0.0,3.67
2025-04-22,17.4,10.9,0.0,4.17
2025-04-23,19.4,10.1,0.0,4.0600000000000005
2025-04-24,18.9,11.1,4.1,3.66
2025-04-25,20.1,9.4,0.1,4.5
2025-04-26,16.1,10.4,13.2,1.82
