0, 0.1640189068617722
1, 0.14491094005905725
2, 0.1605468914705847
3, 0.13391542550942562
4, 0.16359556198295025
5, 0.18826816945825958
6, 0.1796072579911058
7, 0.19167152181407193
8, 0.14828856390925504
9, 0.14377111037088222
10, 0.16388862181506533
11, 0.14704865350286522
12, 0.19225171230756763
13, 0.19962785407385655
14, 0.2165958871793947
15, 0.2022627181907898
16, 0.2157091008790979
17, 0.19359936746909406
18, 0.2042931052457151
19, 0.19673828839647597
20, 0.19789442654173195
21, 0.19647560686182372
22, 0.19997584571927438
23, 0.2045892122580811
