time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-03-01,15.9,9.2,0.6000000000000001,1.47
2025-03-02,18.0,8.9,3.0,2.58
2025-03-03,17.6,7.6,0.0,2.5
2025-03-04,16.7,6.0,0.0,2.63
2025-03-05,15.8,5.1,0.0,2.33
2025-03-06,15.7,7.8,9.7,2.49
2025-03-07,13.0,8.0,3.1999999999999997,0.86
2025-03-08,17.3,6.8,0.30000000000000004,2.4
2025-03-09,20.2,8.6,4.800000000000001,2.81
2025-03-10,19.4,8.2,0.0,2.91
2025-03-11,19.1,8.6,0.0,2.66
2025-03-12,14.6,9.0,9.9,1.31
2025-03-13,18.1,8.2,1.7000000000000002,2.54
2025-03-14,19.7,10.9,1.0,2.91
2025-03-15,15.7,7.5,5.1000000000000005,1.76
2025-03-16,14.3,5.4,0.0,2.73
2025-03-17,14.9,5.3,2.4,2.24
2025-03-18,14.6,8.1,0.0,1.91
2025-03-19,14.9,7.1,0.0,2.67
2025-03-20,16.4,10.6,0.0,2.32
2025-03-21,16.6,10.4,0.0,2.24
2025-03-22,20.4,11.6,0.0,3.06
2025-03-23,17.0,9.1,0.0,2.73
2025-03-24,17.2,7.9,3.1999999999999997,3.05
2025-03-25,16.1,7.8,0.7000000000000001,2.94
2025-03-26,14.6,6.9,4.2,2.61
2025-03-27,16.5,6.4,0.30000000000000004,2.9
2025-03-28,15.5,7.9,1.1,2.77
2025-03-29,13.3,8.4,1.9000000000000001,1.6500000000000001
2025-03-30,17.5,7.6,1.8,2.55
2025-03-31,18.9,8.0,0.30000000000000004,2.89
2025-04-01,16.9,4.6,0.0,3.89
2025-04-02,17.5,4.1,0.0,3.57
2025-04-03,20.4,6.1,0.0,3.8000000000000003
2025-04-04,21.4,7.3,0.0,3.92
2025-04-05,22.0,8.1,0.0,4.09
2025-04-06,18.6,8.3,0.0,2.8400000000000003
2025-04-07,16.0,9.4,1.5,2.2
2025-04-08,16.1,8.9,0.9,1.81
2025-04-09,16.1,8.6,3.3000000000000003,1.6700000000000002
2025-04-10,18.0,9.4,0.0,2.29
2025-04-11,16.9,9.6,10.6,1.65
2025-04-12,14.7,9.8,3.2,2.36
2025-04-13,15.7,8.6,0.0,3.63
2025-04-14,16.5,9.4,0.0,3.54
2025-04-15,20.7,10.2,0.5,3.22
2025-04-16,18.1,11.4,1.9,3.3400000000000003
2025-04-17,18.9,11.1,4.7,2.57
2025-04-18,17.5,10.5,3.7,2.85
2025-04-19,18.5,8.6,0.0,3.99
2025-04-20,19.1,9.2,0.0,4.34
2025-04-21,13.5,9.4,4.8,1.6
2025-04-22,16.2,8.9,1.2000000000000002,3.01
2025-04-23,18.2,10.1,0.0,3.89
2025-04-24,19.2,10.8,0.0,4.24
2025-04-25,22.0,11.9,0.0,4.49
2025-04-26,24.1,13.8,0.0,4.88
2025-04-27,19.2,13.9,13.1,1.68
2025-04-28,18.2,11.0,0.1,3.41
2025-04-29,16.9,9.8,0.0,3.92
2025-04-30,20.1,8.9,0.0,4.38
