time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-03,29.1,16.0,0.0,7.52
2025-06-04,32.0,16.4,1.2,6.56
2025-06-05,30.7,16.8,1.8,5.48
2025-06-06,32.5,17.7,0.0,7.0200000000000005
2025-06-07,35.2,20.2,0.0,8.33
2025-06-08,33.3,18.7,0.0,8.18
2025-06-09,31.6,16.7,0.0,8.17
2025-06-10,30.3,15.6,0.0,6.890000000000001
2025-06-11,32.3,17.4,0.0,6.52
2025-06-12,33.5,18.4,0.0,6.77
2025-06-13,34.8,17.8,0.0,7.51
2025-06-14,36.4,19.7,0.0,7.4
2025-06-15,36.5,22.0,0.0,8.09
2025-06-16,36.7,21.0,0.0,8.27
2025-06-17,31.8,19.3,0.0,7.69
2025-06-18,29.1,17.9,0.30000000000000004,4.54
2025-06-19,31.2,17.8,0.0,5.84
2025-06-20,33.0,19.3,0.0,7.43
2025-06-21,33.8,19.2,0.0,6.37
2025-06-22,34.2,20.9,0.0,6.75
2025-06-23,34.2,20.8,0.0,7.57
2025-06-24,35.7,20.8,0.0,8.38
2025-06-25,37.0,22.1,0.0,7.6
2025-06-26,37.8,22.1,0.0,7.91
2025-06-27,35.2,21.1,0.0,8.47
2025-06-28,36.2,20.1,0.0,6.89
2025-06-29,36.5,22.6,0.0,7.53
2025-06-30,35.0,22.0,0.0,7.61
2025-07-01,35.5,22.8,0.0,5.43
2025-07-02,35.6,23.4,0.0,6.2
2025-07-03,35.0,22.9,0.0,5.95
2025-07-04,37.3,22.2,0.0,7.46
2025-07-05,36.0,21.5,0.0,7.67
2025-07-06,37.0,22.4,0.0,8.48
2025-07-07,36.9,22.0,0.0,8.83
2025-07-08,35.2,20.2,0.30000000000000004,9.0
2025-07-09,32.5,18.4,0.0,8.53
2025-07-10,33.8,19.0,0.0,7.09
2025-07-11,35.0,19.0,0.0,6.45
2025-07-12,34.4,19.6,0.0,7.17
2025-07-13,35.7,19.8,0.2,8.1
2025-07-14,30.3,20.7,1.9000000000000001,6.63
2025-07-15,31.8,22.9,0.0,6.95
2025-07-16,30.9,23.4,0.0,6.46
2025-07-17,32.0,23.5,0.0,6.45
2025-07-18,34.2,24.9,0.0,7.19
2025-07-19,33.2,24.9,0.0,6.93
2025-07-20,32.4,24.8,0.0,6.66
2025-07-21,30.5,23.0,0.0,6.64
2025-07-22,29.9,22.6,0.0,6.2
2025-07-23,30.8,22.4,0.0,6.17
2025-07-24,30.2,22.5,0.0,6.1
2025-07-25,31.2,22.1,0.0,6.18
2025-07-26,36.8,25.1,0.0,7.53
2025-07-27,30.6,23.7,0.0,5.74
2025-07-28,29.2,22.4,11.4,4.93
2025-07-29,29.9,22.7,0.0,5.83
2025-07-30,28.7,22.8,0.0,5.62
2025-07-31,28.3,20.7,0.0,6.19
2025-08-01,28.8,20.0,0.0,5.76
2025-08-02,36.5,23.5,0.0,6.83
