time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-01,31.5,16.8,0.0,6.38
2025-06-02,29.7,17.0,0.0,7.64
2025-06-03,29.1,16.0,0.0,7.55
2025-06-04,31.1,16.5,1.9,6.45
2025-06-05,29.9,17.2,2.0,5.5
2025-06-06,32.8,18.5,0.0,7.01
2025-06-07,35.4,19.9,0.0,8.27
2025-06-08,33.5,18.4,0.0,8.11
2025-06-09,31.5,16.5,0.0,8.11
2025-06-10,30.1,15.0,0.0,6.79
2025-06-11,32.7,17.2,0.0,6.63
2025-06-12,32.9,18.4,0.0,6.78
2025-06-13,34.3,17.9,0.0,7.46
2025-06-14,36.0,19.9,0.0,7.57
2025-06-15,36.7,22.3,0.0,8.38
2025-06-16,35.7,21.3,0.0,8.58
2025-06-17,32.0,19.1,0.0,7.6000000000000005
2025-06-18,30.0,17.6,0.30000000000000004,4.56
2025-06-19,30.8,18.0,0.0,5.84
2025-06-20,33.0,19.5,0.0,7.11
2025-06-21,34.0,19.5,0.0,6.72
2025-06-22,34.5,20.8,0.0,6.74
2025-06-23,34.3,20.1,0.0,7.42
2025-06-24,35.9,21.0,0.0,8.42
2025-06-25,37.5,22.3,0.0,7.5200000000000005
2025-06-26,38.2,22.3,0.0,8.14
2025-06-27,35.0,20.8,0.0,8.45
2025-06-28,36.2,20.5,0.0,6.89
2025-06-29,36.5,23.0,0.0,7.64
2025-06-30,35.0,22.5,0.0,7.62
2025-07-01,35.5,23.1,0.0,5.7700000000000005
2025-07-02,35.7,23.4,1.1,5.14
2025-07-03,36.5,22.1,0.7000000000000001,5.73
2025-07-04,36.7,21.6,0.0,6.48
2025-07-05,35.4,21.3,0.0,7.19
2025-07-06,36.3,21.9,0.0,7.82
2025-07-07,37.4,21.2,0.0,7.0200000000000005
2025-07-08,36.8,22.0,0.0,8.15
2025-07-09,33.0,18.4,0.0,8.82
2025-07-10,35.0,17.6,0.0,6.8
2025-07-11,35.2,20.3,0.0,7.0
2025-07-12,29.8,20.8,0.0,5.83
2025-07-13,31.0,22.1,0.0,6.4399999999999995
2025-07-14,32.2,23.9,0.0,6.99
2025-07-15,32.5,24.6,0.0,7.12
2025-07-16,31.2,22.7,0.0,6.41
2025-07-17,30.9,22.2,0.0,6.31
2025-07-18,29.1,21.9,0.0,6.61
2025-07-19,29.4,21.0,0.0,5.88
2025-07-20,29.4,21.0,0.0,5.76
2025-07-21,29.6,21.5,0.0,5.9
2025-07-22,30.5,21.2,0.0,6.16
2025-07-23,30.5,21.6,0.0,6.38
2025-07-24,29.5,21.8,0.0,6.1000000000000005
2025-07-25,29.5,20.9,0.0,5.71
2025-07-26,30.0,21.0,0.0,5.96
2025-07-27,30.6,21.1,0.0,6.21
2025-07-28,35.2,22.5,0.0,6.72
2025-07-29,30.3,21.9,0.0,6.45
2025-07-30,29.0,21.2,0.0,5.42
2025-07-31,28.6,21.2,0.0,5.55
