time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-03-01,16.0,8.8,1.4000000000000001,1.53
2025-03-02,18.5,9.1,1.9,2.69
2025-03-03,17.9,7.8,0.0,2.5700000000000003
2025-03-04,16.6,5.8,0.0,2.64
2025-03-05,15.8,5.1,0.0,2.36
2025-03-06,14.9,8.0,5.2,2.2
2025-03-07,13.8,7.9,5.3,1.21
2025-03-08,17.2,7.1,0.0,2.39
2025-03-09,20.0,8.1,2.6999999999999997,2.46
2025-03-10,19.5,8.6,0.8999999999999999,2.98
2025-03-11,18.2,8.6,0.0,2.63
2025-03-12,14.4,8.5,9.9,1.32
2025-03-13,18.1,8.1,3.7,2.68
2025-03-14,19.8,10.9,1.4,2.87
2025-03-15,16.1,7.4,1.5,2.4899999999999998
2025-03-16,14.6,5.2,0.0,2.83
2025-03-17,15.4,5.2,1.5,2.24
2025-03-18,14.9,7.9,0.0,1.9200000000000002
2025-03-19,15.1,7.0,0.0,2.77
2025-03-20,15.7,10.6,0.0,2.02
2025-03-21,17.6,10.2,0.0,2.44
2025-03-22,20.9,11.9,0.0,3.1999999999999997
2025-03-23,17.9,8.6,0.0,2.7
2025-03-24,16.7,8.1,3.4,2.81
2025-03-25,16.5,7.7,0.8,3.02
2025-03-26,14.4,6.8,3.0,2.46
2025-03-27,16.5,6.4,0.9,2.74
2025-03-28,15.1,7.8,1.1,2.67
2025-03-29,14.1,7.7,2.5,1.78
2025-03-30,17.5,7.5,3.3,2.69
2025-03-31,18.7,7.4,0.9,2.67
2025-04-01,16.4,4.9,0.0,3.8
2025-04-02,18.0,4.2,0.0,3.45
2025-04-03,20.5,6.6,0.0,3.85
2025-04-04,20.7,8.0,0.0,3.42
2025-04-05,21.6,10.3,0.0,3.9
2025-04-06,21.5,8.8,0.0,3.42
2025-04-07,21.4,8.1,0.0,3.77
2025-04-08,20.0,8.8,0.0,2.61
2025-04-09,18.9,7.8,0.0,4.05
2025-04-10,17.6,7.8,0.0,2.7800000000000002
2025-04-11,23.4,12.7,0.0,3.52
2025-04-12,17.9,13.1,1.2000000000000002,2.47
2025-04-13,19.5,12.4,0.0,3.17
2025-04-14,16.2,9.2,0.0,3.27
2025-04-15,14.1,8.6,0.0,2.07
2025-04-16,16.4,8.6,0.5,3.2199999999999998
2025-04-17,24.0,10.9,4.1000000000000005,4.12
2025-04-18,17.0,13.1,1.4000000000000001,3.07
2025-04-19,18.0,11.4,0.0,3.43
2025-04-20,17.9,10.9,0.0,3.37
2025-04-21,16.9,11.9,0.6000000000000001,3.3
2025-04-22,17.0,11.4,0.6000000000000001,3.29
2025-04-23,19.0,10.9,0.0,3.86
2025-04-24,21.4,12.6,0.0,4.49
2025-04-25,25.2,14.0,0.0,5.16
2025-04-26,19.0,13.9,0.0,3.57
2025-04-27,16.9,12.6,2.4000000000000004,3.22
2025-04-28,18.2,12.1,0.0,3.81
2025-04-29,15.8,11.7,1.0,3.82
2025-04-30,13.6,10.2,2.6,3.07
