time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-05-24,22.8,11.6,1.8,4.140000000000001
2025-05-25,24.4,11.6,0.0,5.9
2025-05-26,26.2,12.7,0.0,5.9
2025-05-27,25.1,12.7,0.0,6.08
2025-05-28,25.8,12.1,0.0,6.12
2025-05-29,26.4,13.6,0.0,5.46
2025-05-30,29.9,14.4,0.0,6.29
2025-05-31,31.0,16.3,0.0,6.4
2025-06-01,31.4,16.5,0.0,6.25
2025-06-02,30.0,17.1,0.0,7.67
2025-06-03,29.1,15.8,0.0,7.49
2025-06-04,31.7,16.5,2.5,6.4
2025-06-05,30.0,17.0,0.2,5.75
2025-06-06,32.6,18.6,0.0,7.18
2025-06-07,35.0,20.0,0.0,8.23
2025-06-08,32.8,18.8,0.0,8.11
2025-06-09,31.1,16.8,0.0,8.3
2025-06-10,30.1,15.1,0.0,6.91
2025-06-11,32.4,17.4,0.0,6.57
2025-06-12,33.0,18.4,0.0,6.76
2025-06-13,34.5,18.0,0.0,7.63
2025-06-14,36.0,20.0,0.0,7.55
2025-06-15,37.3,22.2,0.0,8.43
2025-06-16,36.0,21.1,0.0,8.12
2025-06-17,32.7,19.0,0.0,7.64
2025-06-18,28.9,17.7,0.0,4.59
2025-06-19,31.5,17.9,0.0,5.87
2025-06-20,33.2,19.4,0.0,7.4
2025-06-21,34.2,19.3,0.0,6.97
2025-06-22,34.2,20.6,0.0,6.47
2025-06-23,33.8,20.5,0.0,7.71
2025-06-24,36.3,21.0,0.0,8.71
2025-06-25,39.2,22.2,0.0,7.85
2025-06-26,39.8,22.9,0.0,8.290000000000001
2025-06-27,36.2,19.6,0.0,8.57
2025-06-28,37.8,19.0,0.0,6.95
2025-06-29,39.2,22.0,0.0,7.26
2025-06-30,38.2,22.8,0.0,7.3100000000000005
2025-07-01,39.1,22.5,0.0,6.77
2025-07-02,39.5,22.5,0.0,8.26
2025-07-03,37.7,21.1,0.0,8.4
2025-07-04,31.8,20.2,0.0,7.0200000000000005
2025-07-05,31.0,23.0,0.6000000000000001,5.47
2025-07-06,31.2,22.6,0.0,3.96
2025-07-07,32.0,23.0,0.0,6.85
2025-07-08,32.8,24.1,0.0,6.8500000000000005
2025-07-09,29.5,21.1,0.6000000000000001,6.21
2025-07-10,29.5,20.9,0.0,6.07
2025-07-11,30.5,21.9,0.0,6.14
2025-07-12,30.0,21.9,0.0,6.12
2025-07-13,30.5,21.4,0.0,6.35
2025-07-14,26.4,21.6,11.9,3.79
2025-07-15,26.5,21.2,0.1,5.29
2025-07-16,31.6,20.9,0.0,6.13
2025-07-17,31.6,23.8,0.0,6.3
2025-07-18,30.8,23.7,0.0,5.51
2025-07-19,32.2,24.3,0.0,6.39
2025-07-20,32.0,23.8,0.0,6.26
2025-07-21,29.8,23.4,0.0,6.19
2025-07-22,29.4,22.6,0.0,6.36
2025-07-23,29.4,22.2,0.0,6.22
