time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-02,29.8,17.4,0.0,7.74
2025-06-03,29.4,16.0,0.0,7.54
2025-06-04,30.9,16.4,1.4000000000000001,6.13
2025-06-05,31.9,17.0,0.4,6.12
2025-06-06,33.0,17.9,0.0,7.08
2025-06-07,35.5,20.0,0.0,8.32
2025-06-08,32.8,18.6,0.0,7.91
2025-06-09,31.2,16.6,0.0,8.09
2025-06-10,29.9,15.1,0.0,6.76
2025-06-11,32.3,17.3,0.0,6.49
2025-06-12,33.7,18.3,0.0,6.76
2025-06-13,34.7,18.1,0.0,7.42
2025-06-14,36.8,19.9,0.0,7.55
2025-06-15,37.0,22.0,0.0,8.19
2025-06-16,36.7,21.0,0.0,8.47
2025-06-17,31.0,19.2,0.0,7.61
2025-06-18,28.2,17.5,0.6000000000000001,4.65
2025-06-19,31.2,17.9,0.0,5.61
2025-06-20,33.2,19.5,0.0,7.22
2025-06-21,34.0,19.3,0.0,6.97
2025-06-22,35.2,21.0,0.0,6.89
2025-06-23,34.3,20.7,0.0,7.61
2025-06-24,35.7,20.8,0.0,8.57
2025-06-25,37.1,21.9,0.0,7.42
2025-06-26,37.8,22.1,0.0,8.05
2025-06-27,35.0,21.0,0.0,8.540000000000001
2025-06-28,35.7,19.6,0.0,6.75
2025-06-29,36.8,23.1,0.0,7.45
2025-06-30,35.9,22.1,0.0,7.55
2025-07-01,35.7,22.7,0.0,5.4
2025-07-02,35.2,23.6,0.0,6.51
2025-07-03,37.2,22.8,0.2,5.46
2025-07-04,36.9,22.8,0.1,5.47
2025-07-05,36.7,22.0,0.0,8.01
2025-07-06,37.7,21.2,0.0,8.36
2025-07-07,37.6,22.1,0.0,8.41
2025-07-08,31.5,19.0,0.0,8.16
2025-07-09,34.3,17.2,0.0,7.4399999999999995
2025-07-10,33.8,17.1,0.0,7.4
2025-07-11,35.7,19.6,0.0,6.38
2025-07-12,36.5,20.4,20.099999999999998,4.7
2025-07-13,29.1,22.4,0.0,5.71
2025-07-14,30.5,22.6,0.0,6.79
2025-07-15,30.3,22.8,0.0,6.59
2025-07-16,31.4,22.5,0.0,6.47
2025-07-17,32.1,23.8,0.0,6.68
2025-07-18,33.4,25.0,0.0,6.79
2025-07-19,35.8,25.1,0.0,7.17
2025-07-20,38.4,25.7,0.0,7.65
2025-07-21,35.3,25.4,0.6000000000000001,6.39
2025-07-22,32.2,23.6,0.0,6.27
2025-07-23,31.4,22.5,0.0,6.62
2025-07-24,31.6,21.5,0.0,6.83
2025-07-25,33.5,21.6,0.0,6.95
2025-07-26,32.2,24.0,0.0,6.77
2025-07-27,31.0,23.7,0.0,6.33
2025-07-28,32.3,24.9,0.0,6.54
2025-07-29,34.4,26.0,0.0,6.9399999999999995
2025-07-30,34.0,26.5,0.0,7.02
2025-07-31,34.0,24.8,0.0,6.44
2025-08-01,32.8,24.2,0.0,6.72
