time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-06,33.0,18.2,0.0,7.08
2025-06-07,34.3,20.0,0.0,8.23
2025-06-08,32.8,18.3,0.0,8.040000000000001
2025-06-09,31.2,16.5,0.0,8.15
2025-06-10,30.0,15.5,0.0,6.85
2025-06-11,32.2,17.5,0.0,6.45
2025-06-12,33.3,18.5,0.0,6.87
2025-06-13,34.5,18.0,0.0,7.41
2025-06-14,35.8,20.0,0.0,7.32
2025-06-15,37.2,22.0,0.0,8.23
2025-06-16,36.0,21.1,0.0,8.7
2025-06-17,31.0,19.2,0.0,7.69
2025-06-18,29.5,17.7,0.0,5.51
2025-06-19,31.6,17.6,0.0,6.47
2025-06-20,33.1,19.2,0.0,7.53
2025-06-21,34.1,19.5,0.0,6.87
2025-06-22,34.7,21.0,0.0,6.79
2025-06-23,34.7,20.4,0.0,7.43
2025-06-24,35.5,20.9,0.0,8.57
2025-06-25,37.4,22.3,0.0,7.46
2025-06-26,38.0,22.4,0.0,7.93
2025-06-27,35.1,21.0,0.0,8.3
2025-06-28,36.2,19.8,0.0,6.84
2025-06-29,36.2,22.7,0.0,7.72
2025-06-30,34.5,22.7,0.0,7.68
2025-07-01,35.6,22.9,0.0,5.69
2025-07-02,35.6,23.2,0.0,6.28
2025-07-03,35.2,22.8,0.0,6.28
2025-07-04,35.2,22.4,0.0,7.33
2025-07-05,35.7,23.0,0.30000000000000004,7.29
2025-07-06,35.1,22.5,0.0,7.79
2025-07-07,33.2,21.0,0.0,7.66
2025-07-08,28.1,19.1,0.0,7.58
2025-07-09,28.5,18.1,0.0,8.1
2025-07-10,30.8,17.1,0.0,6.55
2025-07-11,32.8,17.9,0.0,6.62
2025-07-12,33.4,18.4,0.0,6.88
2025-07-13,33.3,19.1,0.0,7.79
2025-07-14,32.2,19.2,0.8999999999999999,6.82
2025-07-15,35.5,20.8,0.0,7.8100000000000005
2025-07-16,37.5,20.6,0.0,7.72
2025-07-17,31.4,22.8,0.0,6.64
2025-07-18,33.1,24.2,0.0,6.82
2025-07-19,31.4,23.4,0.0,6.63
2025-07-20,30.2,22.6,0.0,6.06
2025-07-21,30.2,22.3,0.0,5.87
2025-07-22,30.3,21.7,0.0,5.8100000000000005
2025-07-23,31.1,23.5,0.0,5.85
2025-07-24,31.8,23.6,0.0,6.12
2025-07-25,32.4,24.9,0.0,6.71
2025-07-26,31.2,24.3,0.0,5.7700000000000005
2025-07-27,31.9,23.6,0.0,5.75
2025-07-28,31.1,23.2,0.0,5.69
2025-07-29,32.7,24.4,0.0,6.069999999999999
2025-07-30,32.9,24.7,0.0,6.28
2025-07-31,32.9,24.4,0.0,6.74
2025-08-01,32.0,24.1,0.0,6.38
2025-08-02,32.3,23.8,0.0,6.21
2025-08-03,31.5,23.0,0.0,5.92
2025-08-04,30.0,22.4,0.0,6.14
2025-08-05,26.9,21.6,0.0,5.8100000000000005
