time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-03-01,17.5,8.3,0.5,1.78
2025-03-02,18.5,8.9,3.1,2.7
2025-03-03,17.8,7.6,0.0,2.54
2025-03-04,16.6,5.7,0.0,2.57
2025-03-05,15.9,4.8,0.0,2.53
2025-03-06,15.3,7.8,10.8,2.08
2025-03-07,14.1,8.4,2.7,1.5
2025-03-08,17.5,7.0,0.0,2.57
2025-03-09,19.9,8.3,6.5,2.48
2025-03-10,19.2,8.7,0.4,3.08
2025-03-11,18.9,9.1,0.0,2.62
2025-03-12,14.4,8.9,9.6,1.19
2025-03-13,18.6,8.2,3.1,2.7
2025-03-14,19.0,10.9,1.4000000000000001,2.95
2025-03-15,16.4,7.6,3.0,2.41
2025-03-16,14.4,5.2,0.0,2.77
2025-03-17,15.1,5.2,2.1,2.29
2025-03-18,15.8,7.9,0.0,2.14
2025-03-19,15.5,7.1,0.0,2.86
2025-03-20,16.5,10.6,0.0,2.36
2025-03-21,16.6,10.4,0.0,2.03
2025-03-22,21.0,12.2,0.0,3.18
2025-03-23,18.0,8.9,0.0,3.0
2025-03-24,17.4,8.6,2.6,2.91
2025-03-25,16.7,7.7,1.0,3.04
2025-03-26,14.6,6.8,2.7,2.66
2025-03-27,16.8,6.5,0.30000000000000004,2.97
2025-03-28,15.6,7.8,0.5,2.69
2025-03-29,13.6,8.7,2.8000000000000003,1.84
2025-03-30,18.1,8.3,0.9,2.87
2025-03-31,17.6,7.6,0.0,2.48
2025-04-01,15.9,5.3,0.0,3.9
2025-04-02,18.1,4.8,0.0,3.14
2025-04-03,21.0,7.2,0.0,4.05
2025-04-04,21.0,7.8,0.0,3.89
2025-04-05,20.5,8.4,0.0,3.8400000000000003
2025-04-06,19.6,7.8,2.7,3.31
2025-04-07,9.0,4.1,5.4,0.75
2025-04-08,17.0,3.6,0.0,3.55
2025-04-09,15.9,7.0,0.0,2.54
2025-04-10,20.9,10.6,1.2,2.69
2025-04-11,19.5,11.9,1.5,2.83
2025-04-12,14.6,13.4,40.199999999999996,0.5
2025-04-13,17.0,12.8,10.4,2.93
2025-04-14,16.6,12.9,7.9,3.12
2025-04-15,17.9,13.3,0.6000000000000001,2.89
2025-04-16,20.3,12.9,0.0,2.8400000000000003
2025-04-17,17.4,10.6,5.4,3.4
2025-04-18,21.8,12.1,0.6000000000000001,3.67
2025-04-19,21.6,14.2,0.0,3.97
2025-04-20,17.3,14.5,20.1,1.43
2025-04-21,17.9,13.2,3.3000000000000003,3.19
2025-04-22,18.0,12.4,0.0,3.3
2025-04-23,17.0,13.6,1.7000000000000002,3.08
2025-04-24,14.9,10.4,9.7,2.65
2025-04-25,17.6,10.0,0.0,3.93
2025-04-26,22.4,11.2,0.0,4.89
2025-04-27,23.2,11.1,0.0,5.94
2025-04-28,16.9,13.4,19.1,2.89
2025-04-29,15.9,11.9,4.9,2.37
2025-04-30,18.0,11.7,0.6000000000000001,3.46
