time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-05-31,30.5,16.4,0.0,6.5
2025-06-01,31.6,16.5,0.0,6.32
2025-06-02,29.6,17.0,0.0,7.64
2025-06-03,29.5,15.9,0.0,7.5200000000000005
2025-06-04,32.0,16.6,0.2,6.7299999999999995
2025-06-05,31.2,17.0,1.0,5.87
2025-06-06,32.8,18.1,0.0,7.03
2025-06-07,34.8,19.9,0.0,8.01
2025-06-08,33.7,18.5,0.0,8.28
2025-06-09,31.5,16.5,0.0,8.1
2025-06-10,30.5,15.3,0.0,6.88
2025-06-11,32.4,17.1,0.0,6.59
2025-06-12,33.3,18.5,0.0,6.97
2025-06-13,34.3,18.2,0.0,7.5200000000000005
2025-06-14,36.2,19.6,0.0,7.1
2025-06-15,37.3,22.0,0.0,8.16
2025-06-16,36.8,21.0,0.0,8.71
2025-06-17,31.3,19.1,0.0,7.83
2025-06-18,28.6,17.5,0.30000000000000004,4.22
2025-06-19,30.4,17.9,0.0,5.34
2025-06-20,33.2,19.2,0.0,7.52
2025-06-21,34.2,19.5,0.0,6.93
2025-06-22,34.3,21.4,0.0,6.15
2025-06-23,34.0,20.8,0.0,7.44
2025-06-24,35.3,20.8,0.0,8.45
2025-06-25,37.3,22.4,0.0,7.54
2025-06-26,38.5,22.2,0.0,8.08
2025-06-27,35.4,21.0,0.0,8.28
2025-06-28,35.9,19.8,0.0,6.76
2025-06-29,36.8,23.1,0.0,7.75
2025-06-30,35.1,22.0,0.0,7.53
2025-07-01,36.0,22.9,0.0,4.98
2025-07-02,36.3,23.2,2.1,4.97
2025-07-03,36.2,22.5,2.8000000000000003,5.96
2025-07-04,35.8,22.4,0.2,5.88
2025-07-05,36.4,22.6,0.0,6.66
2025-07-06,36.5,23.1,0.0,7.03
2025-07-07,39.2,21.9,0.0,8.86
2025-07-08,27.2,17.9,0.0,7.78
2025-07-09,31.5,17.5,0.0,7.69
2025-07-10,35.8,17.9,0.0,8.09
2025-07-11,30.0,20.1,0.0,6.15
2025-07-12,28.8,20.8,0.0,6.22
2025-07-13,29.1,20.0,0.0,6.57
2025-07-14,28.3,18.6,0.0,6.27
2025-07-15,29.0,18.4,0.0,6.17
2025-07-16,32.5,21.4,1.7000000000000002,6.7
2025-07-17,28.4,23.6,4.3,4.1499999999999995
2025-07-18,27.8,22.9,0.0,4.44
2025-07-19,29.1,23.6,0.0,5.53
2025-07-20,30.4,23.5,0.0,5.8
2025-07-21,31.4,23.9,0.0,6.56
2025-07-22,31.4,24.2,0.0,6.54
2025-07-23,33.7,23.1,0.0,6.56
2025-07-24,29.4,22.0,0.0,5.79
2025-07-25,27.5,20.5,0.0,5.890000000000001
2025-07-26,27.2,20.0,0.0,5.89
2025-07-27,28.5,19.2,0.0,6.07
2025-07-28,30.1,21.8,0.0,6.5
2025-07-29,28.0,21.4,2.2,5.02
2025-07-30,29.2,20.6,0.8,5.6
