time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-02,29.8,17.4,0.0,7.63
2025-06-03,28.9,15.8,0.0,7.39
2025-06-04,31.5,16.4,0.8,6.779999999999999
2025-06-05,31.8,17.1,0.7000000000000001,6.11
2025-06-06,33.7,17.7,0.0,7.08
2025-06-07,35.0,20.2,0.0,8.03
2025-06-08,32.5,18.6,0.0,8.0
2025-06-09,31.2,16.5,0.0,8.13
2025-06-10,30.2,15.3,0.0,6.96
2025-06-11,31.2,17.5,0.0,6.45
2025-06-12,33.0,18.2,0.0,6.84
2025-06-13,34.8,18.0,0.0,7.58
2025-06-14,36.0,19.5,0.0,7.31
2025-06-15,36.7,22.2,0.0,8.37
2025-06-16,36.2,20.9,0.0,8.78
2025-06-17,31.4,19.0,0.0,7.66
2025-06-18,29.0,18.2,0.30000000000000004,4.5
2025-06-19,30.9,18.0,0.30000000000000004,6.04
2025-06-20,33.3,19.4,0.0,7.59
2025-06-21,34.5,19.2,0.0,7.01
2025-06-22,34.6,21.0,0.0,6.81
2025-06-23,34.4,20.4,0.0,7.76
2025-06-24,35.0,20.9,0.0,8.56
2025-06-25,37.2,22.0,0.0,7.57
2025-06-26,37.9,22.5,0.0,7.9799999999999995
2025-06-27,34.9,21.0,0.0,8.32
2025-06-28,35.9,19.8,0.0,6.9399999999999995
2025-06-29,36.5,22.8,0.0,7.69
2025-06-30,35.3,22.1,0.0,7.53
2025-07-01,35.8,22.8,0.0,5.51
2025-07-02,34.6,23.0,0.0,6.51
2025-07-03,36.7,23.2,0.30000000000000004,5.28
2025-07-04,34.1,22.7,0.30000000000000004,4.430000000000001
2025-07-05,37.2,21.9,0.0,7.39
2025-07-06,37.5,22.5,0.0,7.95
2025-07-07,33.7,19.4,0.0,8.07
2025-07-08,28.1,17.9,0.0,7.36
2025-07-09,30.0,17.0,0.0,7.44
2025-07-10,33.2,17.8,0.0,6.73
2025-07-11,35.1,17.9,0.0,6.2700000000000005
2025-07-12,34.7,20.1,0.0,5.55
2025-07-13,30.1,21.8,0.0,6.08
2025-07-14,30.9,22.9,0.0,6.27
2025-07-15,31.7,23.5,0.0,6.9399999999999995
2025-07-16,31.1,24.2,0.0,6.78
2025-07-17,30.5,22.0,0.0,6.12
2025-07-18,28.3,21.0,0.0,5.93
2025-07-19,29.8,20.5,0.0,6.08
2025-07-20,29.1,21.5,0.0,5.79
2025-07-21,29.9,23.1,0.0,5.89
2025-07-22,30.8,22.8,0.0,5.87
2025-07-23,31.6,22.8,0.0,6.7299999999999995
2025-07-24,32.7,23.8,0.0,7.05
2025-07-25,29.7,23.2,0.0,6.3
2025-07-26,29.2,22.8,0.0,5.62
2025-07-27,33.8,22.9,0.0,6.4799999999999995
2025-07-28,28.0,22.1,0.0,5.99
2025-07-29,28.5,21.8,0.0,5.5
2025-07-30,30.4,21.1,0.0,5.79
2025-07-31,34.5,23.8,3.0,6.56
2025-08-01,28.5,21.6,0.0,5.97
