time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-05-24,22.6,11.4,0.9,3.98
2025-05-25,24.4,11.4,0.0,5.93
2025-05-26,26.7,12.6,0.0,6.07
2025-05-27,25.0,12.9,0.0,6.13
2025-05-28,26.0,12.1,0.0,6.17
2025-05-29,26.1,13.4,0.0,5.79
2025-05-30,30.0,14.4,0.0,6.29
2025-05-31,31.1,16.4,0.0,6.4799999999999995
2025-06-01,31.8,16.5,0.0,6.31
2025-06-02,29.9,17.2,0.0,7.73
2025-06-03,29.2,15.7,0.0,7.51
2025-06-04,31.5,16.1,0.2,6.59
2025-06-05,31.0,17.0,1.3,5.82
2025-06-06,32.9,18.1,0.0,7.05
2025-06-07,35.4,20.1,0.0,8.14
2025-06-08,33.0,18.5,0.0,8.14
2025-06-09,31.5,16.5,0.0,8.16
2025-06-10,30.1,15.1,0.0,6.87
2025-06-11,32.2,17.2,0.0,6.54
2025-06-12,33.2,18.4,0.0,6.79
2025-06-13,34.5,17.9,0.0,7.45
2025-06-14,36.3,19.7,0.0,7.39
2025-06-15,37.0,22.1,0.0,8.28
2025-06-16,36.5,21.1,0.0,8.86
2025-06-17,31.5,19.2,0.0,7.74
2025-06-18,28.8,17.8,0.0,4.57
2025-06-19,31.2,17.8,0.0,5.77
2025-06-20,32.8,19.4,0.0,7.38
2025-06-21,34.0,19.4,0.0,6.78
2025-06-22,34.3,21.0,0.0,6.5200000000000005
2025-06-23,34.5,20.5,0.0,7.6899999999999995
2025-06-24,36.2,20.9,0.0,8.69
2025-06-25,38.5,22.4,0.0,7.66
2025-06-26,39.8,22.0,0.0,8.41
2025-06-27,37.0,19.6,0.0,8.81
2025-06-28,37.8,18.9,0.0,7.11
2025-06-29,38.2,22.3,0.0,7.41
2025-06-30,38.5,22.6,0.0,7.41
2025-07-01,38.0,23.0,0.0,7.12
2025-07-02,37.7,22.1,0.0,9.1
2025-07-03,38.8,22.1,0.0,8.129999999999999
2025-07-04,30.4,21.5,0.0,6.77
2025-07-05,28.8,21.0,0.0,6.3999999999999995
2025-07-06,28.2,20.4,0.0,6.12
2025-07-07,27.8,20.0,0.0,5.93
2025-07-08,28.1,20.2,0.0,5.78
2025-07-09,29.1,21.0,0.0,6.23
2025-07-10,30.1,20.7,0.0,6.27
2025-07-11,31.6,21.2,0.0,7.21
2025-07-12,33.0,23.6,0.0,7.45
2025-07-13,30.8,22.3,0.0,6.46
2025-07-14,30.5,21.9,0.0,6.5
2025-07-15,34.8,22.8,0.0,6.74
2025-07-16,30.9,23.9,0.0,6.19
2025-07-17,29.4,22.8,0.0,5.69
2025-07-18,29.2,22.1,0.0,5.92
2025-07-19,28.0,22.1,1.6,5.42
2025-07-20,29.4,22.7,0.2,5.23
2025-07-21,30.0,23.1,0.0,5.63
2025-07-22,30.0,22.5,0.0,5.91
2025-07-23,31.5,23.1,0.0,6.74
