time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-02,29.6,17.0,0.0,7.64
2025-06-03,29.5,15.9,0.0,7.5200000000000005
2025-06-04,32.0,16.6,0.2,6.7299999999999995
2025-06-05,31.2,17.0,1.0,5.87
2025-06-06,32.8,18.1,0.0,7.03
2025-06-07,34.8,19.9,0.0,8.01
2025-06-08,33.7,18.5,0.0,8.28
2025-06-09,31.5,16.5,0.0,8.1
2025-06-10,30.5,15.3,0.0,6.88
2025-06-11,32.4,17.1,0.0,6.59
2025-06-12,33.3,18.5,0.0,6.97
2025-06-13,34.3,18.2,0.0,7.5200000000000005
2025-06-14,36.2,19.6,0.0,7.1
2025-06-15,37.3,22.0,0.0,8.16
2025-06-16,36.8,21.0,0.0,8.71
2025-06-17,31.3,19.1,0.0,7.83
2025-06-18,28.6,17.5,0.30000000000000004,4.22
2025-06-19,30.4,17.9,0.0,5.34
2025-06-20,33.2,19.2,0.0,7.52
2025-06-21,34.2,19.5,0.0,6.93
2025-06-22,34.3,21.4,0.0,6.15
2025-06-23,34.0,20.8,0.0,7.44
2025-06-24,35.3,20.8,0.0,8.45
2025-06-25,37.3,22.4,0.0,7.54
2025-06-26,38.5,22.2,0.0,8.08
2025-06-27,35.4,21.0,0.0,8.28
2025-06-28,35.9,19.8,0.0,6.76
2025-06-29,36.8,23.1,0.0,7.75
2025-06-30,35.1,22.0,0.0,7.53
2025-07-01,35.5,22.9,0.0,5.95
2025-07-02,35.5,23.0,0.0,6.84
2025-07-03,36.5,22.8,0.0,5.86
2025-07-04,36.2,22.5,0.0,5.17
2025-07-05,37.1,22.2,0.30000000000000004,6.95
2025-07-06,37.7,22.5,0.0,7.67
2025-07-07,32.2,21.0,0.0,7.63
2025-07-08,30.8,18.5,0.0,7.7
2025-07-09,33.3,17.2,0.0,8.44
2025-07-10,33.3,17.5,0.0,7.55
2025-07-11,35.2,18.8,0.0,6.5
2025-07-12,35.0,20.5,0.0,7.14
2025-07-13,31.4,22.0,0.0,6.37
2025-07-14,32.0,22.5,0.0,7.04
2025-07-15,31.4,22.8,0.0,6.53
2025-07-16,31.2,23.2,0.0,6.03
2025-07-17,31.4,23.3,0.0,5.68
2025-07-18,30.4,23.2,0.0,6.4399999999999995
2025-07-19,31.4,23.8,0.0,6.87
2025-07-20,31.5,24.2,0.0,6.92
2025-07-21,31.8,23.9,0.0,6.62
2025-07-22,31.5,23.4,0.0,5.95
2025-07-23,31.4,22.9,0.6000000000000001,5.85
2025-07-24,29.5,22.4,1.2000000000000002,5.51
2025-07-25,28.9,21.7,0.0,5.69
2025-07-26,30.8,23.1,0.0,6.36
2025-07-27,31.9,23.4,0.0,6.76
2025-07-28,32.1,24.0,0.0,6.75
2025-07-29,33.4,23.9,0.0,6.54
2025-07-30,29.9,23.6,1.2000000000000002,5.390000000000001
2025-07-31,30.5,23.9,4.8,6.14
2025-08-01,28.3,22.6,0.0,4.72
