time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-03,29.1,15.9,0.0,7.57
2025-06-04,31.6,16.1,0.9,6.62
2025-06-05,31.6,17.1,2.1,6.0200000000000005
2025-06-06,33.2,18.4,0.0,7.0
2025-06-07,35.6,20.1,0.0,8.0
2025-06-08,33.2,18.6,0.0,8.09
2025-06-09,31.2,16.5,0.0,8.08
2025-06-10,30.3,15.7,0.0,6.92
2025-06-11,31.9,17.2,0.0,6.47
2025-06-12,33.5,18.4,0.0,6.86
2025-06-13,34.7,18.0,0.0,7.47
2025-06-14,36.7,19.6,0.0,7.32
2025-06-15,36.6,22.1,0.0,8.24
2025-06-16,36.0,21.2,0.0,8.4
2025-06-17,31.3,19.6,0.0,7.67
2025-06-18,29.9,18.1,0.0,4.62
2025-06-19,31.1,17.8,1.8,5.78
2025-06-20,33.0,19.4,0.0,7.23
2025-06-21,34.2,19.1,0.0,6.92
2025-06-22,35.1,21.0,0.0,6.88
2025-06-23,34.5,20.6,0.0,7.63
2025-06-24,35.6,21.0,0.0,8.54
2025-06-25,37.6,22.0,0.0,7.61
2025-06-26,38.0,22.5,0.0,7.95
2025-06-27,34.8,20.8,0.0,8.39
2025-06-28,35.7,19.5,0.0,6.87
2025-06-29,36.0,22.8,0.0,7.67
2025-06-30,35.0,22.0,0.0,7.41
2025-07-01,35.6,22.5,0.0,5.89
2025-07-02,35.2,23.0,0.0,6.67
2025-07-03,35.0,23.0,0.0,6.11
2025-07-04,36.2,22.5,0.0,6.7
2025-07-05,37.8,22.9,0.0,7.3100000000000005
2025-07-06,37.8,21.8,0.0,7.33
2025-07-07,37.8,22.4,0.0,7.74
2025-07-08,31.5,19.7,0.0,7.65
2025-07-09,30.1,19.8,0.0,7.7700000000000005
2025-07-10,32.2,18.8,0.0,6.93
2025-07-11,34.3,18.8,0.30000000000000004,5.74
2025-07-12,33.0,19.4,0.0,5.32
2025-07-13,36.1,20.1,0.0,7.55
2025-07-14,36.5,21.2,0.0,6.49
2025-07-15,32.5,24.0,0.6000000000000001,6.34
2025-07-16,30.5,23.1,1.2000000000000002,5.75
2025-07-17,31.2,22.3,0.0,4.53
2025-07-18,30.9,23.2,0.0,6.67
2025-07-19,30.2,23.4,0.0,6.71
2025-07-20,30.6,22.9,0.0,6.39
2025-07-21,34.3,23.2,0.0,6.93
2025-07-22,36.8,24.4,0.0,8.52
2025-07-23,31.3,23.0,0.0,7.4799999999999995
2025-07-24,27.6,19.4,0.0,6.92
2025-07-25,25.0,19.0,0.0,6.06
2025-07-26,23.9,19.5,0.0,7.12
2025-07-27,24.1,17.9,0.0,6.97
2025-07-28,27.5,17.1,0.0,5.73
2025-07-29,30.1,18.7,0.0,5.93
2025-07-30,31.2,20.6,0.0,6.2299999999999995
2025-07-31,31.5,22.2,0.0,7.01
2025-08-01,30.6,21.7,0.0,6.4399999999999995
2025-08-02,32.4,22.2,0.0,6.41
