time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-01,31.4,16.5,0.0,6.25
2025-06-02,30.0,17.1,0.0,7.67
2025-06-03,29.1,15.8,0.0,7.49
2025-06-04,31.7,16.5,2.5,6.4
2025-06-05,30.0,17.0,0.2,5.75
2025-06-06,32.6,18.6,0.0,7.18
2025-06-07,35.0,20.0,0.0,8.23
2025-06-08,32.8,18.8,0.0,8.11
2025-06-09,31.1,16.8,0.0,8.3
2025-06-10,30.1,15.1,0.0,6.91
2025-06-11,32.4,17.4,0.0,6.57
2025-06-12,33.0,18.4,0.0,6.76
2025-06-13,34.5,18.0,0.0,7.63
2025-06-14,36.0,20.0,0.0,7.55
2025-06-15,37.3,22.2,0.0,8.43
2025-06-16,36.0,21.1,0.0,8.12
2025-06-17,32.7,19.0,0.0,7.64
2025-06-18,28.9,17.7,0.0,4.59
2025-06-19,31.5,17.9,0.0,5.87
2025-06-20,33.2,19.4,0.0,7.4
2025-06-21,34.2,19.3,0.0,6.97
2025-06-22,34.2,20.6,0.0,6.47
2025-06-23,33.8,20.5,0.0,7.71
2025-06-24,35.8,21.0,0.0,8.55
2025-06-25,37.3,22.0,0.0,7.45
2025-06-26,38.1,22.4,0.0,8.1
2025-06-27,35.4,20.9,0.0,8.52
2025-06-28,35.0,19.5,0.0,6.29
2025-06-29,36.5,22.6,0.0,7.5
2025-06-30,34.7,22.4,0.0,7.72
2025-07-01,35.7,22.9,0.0,5.71
2025-07-02,37.7,23.0,0.0,5.97
2025-07-03,37.0,22.2,0.0,5.7
2025-07-04,37.0,22.6,0.0,6.04
2025-07-05,37.2,22.0,0.0,7.069999999999999
2025-07-06,37.2,22.5,0.0,7.11
2025-07-07,38.8,22.0,0.0,8.65
2025-07-08,35.0,21.5,2.9,7.06
2025-07-09,32.9,21.2,0.7000000000000001,7.51
2025-07-10,33.9,20.7,0.0,8.71
2025-07-11,32.9,20.1,0.0,6.87
2025-07-12,30.7,22.1,0.0,5.91
2025-07-13,30.9,23.9,0.0,5.97
2025-07-14,30.8,24.0,0.0,6.06
2025-07-15,31.5,24.0,0.0,6.28
2025-07-16,31.1,24.0,0.0,6.4399999999999995
2025-07-17,31.6,23.8,0.0,6.95
2025-07-18,31.4,22.8,0.0,6.49
2025-07-19,31.5,22.1,0.0,6.85
2025-07-20,31.6,23.1,0.0,6.55
2025-07-21,31.4,22.8,0.0,5.87
2025-07-22,31.7,22.4,0.0,6.28
2025-07-23,31.1,22.9,0.0,6.37
2025-07-24,30.8,22.6,0.0,6.18
2025-07-25,31.9,22.4,0.0,6.59
2025-07-26,35.3,23.8,0.0,7.55
2025-07-27,31.5,24.0,0.0,6.61
2025-07-28,33.2,24.2,0.0,6.67
2025-07-29,34.2,25.7,0.0,6.59
2025-07-30,35.9,26.1,0.0,7.06
2025-07-31,35.0,24.6,0.0,7.0
