time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-06,32.2,18.1,0.0,6.99
2025-06-07,35.2,20.0,0.0,7.93
2025-06-08,33.7,18.6,0.0,8.3
2025-06-09,32.1,16.4,0.0,8.21
2025-06-10,30.1,14.9,0.0,6.81
2025-06-11,32.5,17.7,0.0,6.5
2025-06-12,33.0,18.6,0.0,6.79
2025-06-13,34.0,18.0,0.0,7.5600000000000005
2025-06-14,35.7,19.5,0.0,7.21
2025-06-15,37.1,22.1,0.0,8.46
2025-06-16,36.1,20.5,0.0,8.84
2025-06-17,31.0,18.5,0.0,7.71
2025-06-18,28.4,17.4,0.6000000000000001,4.63
2025-06-19,30.9,17.8,0.30000000000000004,5.38
2025-06-20,33.0,19.2,0.0,7.65
2025-06-21,33.9,19.4,0.0,7.1000000000000005
2025-06-22,34.5,21.0,0.0,6.59
2025-06-23,34.0,20.4,0.0,7.53
2025-06-24,35.5,20.6,0.0,8.39
2025-06-25,37.2,22.0,0.0,7.51
2025-06-26,38.2,22.0,0.0,7.9
2025-06-27,34.5,21.0,0.0,8.29
2025-06-28,35.3,19.8,0.0,6.61
2025-06-29,36.0,22.7,0.0,7.7
2025-06-30,35.5,22.0,0.0,7.68
2025-07-01,35.4,22.9,0.0,5.78
2025-07-02,35.2,23.2,0.0,6.49
2025-07-03,34.9,22.8,0.0,5.98
2025-07-04,35.2,22.2,0.0,6.34
2025-07-05,35.0,22.5,0.30000000000000004,5.96
2025-07-06,35.5,22.1,0.0,7.95
2025-07-07,34.8,21.4,0.0,8.05
2025-07-08,31.0,20.0,0.0,7.46
2025-07-09,31.5,19.0,0.0,8.35
2025-07-10,32.7,17.6,0.0,7.19
2025-07-11,32.5,18.6,0.0,7.56
2025-07-12,34.7,18.7,0.0,6.76
2025-07-13,34.7,20.0,0.0,6.54
2025-07-14,38.4,22.1,0.0,7.74
2025-07-15,40.3,22.1,0.0,8.19
2025-07-16,35.5,21.8,0.0,8.32
2025-07-17,29.1,21.8,1.6,6.0600000000000005
2025-07-18,29.9,22.4,1.4000000000000001,5.62
2025-07-19,30.2,22.7,0.0,6.05
2025-07-20,29.7,22.0,0.0,5.91
2025-07-21,30.2,22.5,0.0,5.83
2025-07-22,31.2,23.5,0.0,6.82
2025-07-23,32.2,24.1,0.0,6.63
2025-07-24,32.5,24.0,0.0,6.3999999999999995
2025-07-25,34.8,25.1,0.0,7.06
2025-07-26,35.9,25.0,1.1,7.02
2025-07-27,34.2,24.4,1.9000000000000001,7.32
2025-07-28,28.9,23.0,0.0,5.8
2025-07-29,30.2,22.5,0.0,5.6000000000000005
2025-07-30,31.8,22.7,0.0,6.4799999999999995
2025-07-31,29.2,21.9,0.0,6.24
2025-08-01,31.5,21.0,0.0,6.54
2025-08-02,30.4,22.2,0.0,6.11
2025-08-03,32.2,22.7,0.0,6.51
2025-08-04,37.2,24.2,0.0,6.96
2025-08-05,32.0,22.4,0.0,5.62
