time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-02-28,16.4,5.2,0.0,2.08
2025-03-01,16.7,9.1,1.1,1.69
2025-03-02,18.1,9.0,1.6,2.58
2025-03-03,17.6,7.7,0.0,2.47
2025-03-04,16.6,6.2,0.0,2.54
2025-03-05,15.4,5.2,0.0,2.41
2025-03-06,15.3,7.6,7.0,2.17
2025-03-07,13.1,8.0,2.6,0.88
2025-03-08,17.5,6.9,0.30000000000000004,2.43
2025-03-09,19.8,8.6,3.0,2.56
2025-03-10,19.4,8.6,0.6000000000000001,2.9
2025-03-11,18.0,8.4,0.0,2.53
2025-03-12,14.1,8.9,16.5,0.9500000000000001
2025-03-13,18.4,8.1,5.5,2.8
2025-03-14,19.1,11.1,2.2,3.11
2025-03-15,16.1,7.8,3.1,2.54
2025-03-16,14.5,5.4,0.30000000000000004,2.77
2025-03-17,14.9,5.8,0.9,2.23
2025-03-18,15.6,8.3,0.0,2.34
2025-03-19,15.1,7.0,0.0,2.8
2025-03-20,16.9,10.4,0.0,2.26
2025-03-21,16.9,10.2,0.30000000000000004,2.14
2025-03-22,20.6,11.9,0.30000000000000004,3.22
2025-03-23,17.9,9.1,0.2,2.83
2025-03-24,17.5,8.7,4.8,2.82
2025-03-25,15.9,7.4,0.4,2.82
2025-03-26,14.6,6.5,4.2,2.55
2025-03-27,16.7,6.1,0.6000000000000001,3.05
2025-03-28,15.5,7.8,0.5,2.69
2025-03-29,14.2,8.6,2.5,2.11
2025-03-30,17.9,8.1,0.6000000000000001,2.86
2025-03-31,20.5,7.3,0.30000000000000004,2.9
2025-04-01,14.6,4.4,0.0,2.9
2025-04-02,18.9,3.7,0.0,3.23
2025-04-03,21.0,7.1,0.0,3.91
2025-04-04,21.1,8.1,0.0,3.54
2025-04-05,17.5,9.6,0.0,2.2
2025-04-06,20.6,9.2,0.0,3.59
2025-04-07,14.9,6.2,0.30000000000000004,2.37
2025-04-08,14.6,6.3,0.0,2.05
2025-04-09,19.0,5.8,0.0,3.63
2025-04-10,16.9,6.5,0.6000000000000001,3.32
2025-04-11,17.4,9.6,0.0,3.42
2025-04-12,22.1,9.4,0.0,4.5
2025-04-13,18.9,14.0,0.0,3.44
2025-04-14,16.1,7.8,14.1,1.7
2025-04-15,10.6,5.4,7.4,1.74
2025-04-16,15.6,5.2,1.3,3.33
2025-04-17,17.4,10.1,1.2000000000000002,3.39
2025-04-18,18.9,9.8,0.0,3.74
2025-04-19,17.3,10.1,0.6000000000000001,3.64
2025-04-20,19.0,9.5,0.0,3.97
2025-04-21,17.1,9.9,0.0,3.58
2025-04-22,17.3,10.1,0.0,3.5500000000000003
2025-04-23,17.9,10.6,0.0,3.75
2025-04-24,18.0,10.1,0.6000000000000001,3.45
2025-04-25,19.2,14.6,0.0,3.59
2025-04-26,18.0,13.4,0.0,4.03
2025-04-27,19.3,13.3,0.0,3.61
2025-04-28,16.2,10.9,0.0,4.08
2025-04-29,18.1,10.2,1.2000000000000002,3.98
