time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-05-24,22.9,11.9,0.0,4.19
2025-05-25,24.7,11.4,0.0,6.01
2025-05-26,26.6,12.7,0.0,5.93
2025-05-27,24.7,13.1,0.0,6.09
2025-05-28,25.5,12.1,0.0,5.93
2025-05-29,26.6,13.5,0.0,5.8
2025-05-30,30.0,14.1,0.0,6.26
2025-05-31,30.9,16.4,0.0,6.3999999999999995
2025-06-01,31.5,16.4,0.0,6.31
2025-06-02,29.5,17.1,0.0,7.76
2025-06-03,29.6,15.6,0.0,7.66
2025-06-04,32.0,16.3,3.1,6.49
2025-06-05,31.2,17.2,0.8,5.71
2025-06-06,32.8,17.9,0.0,7.07
2025-06-07,35.5,20.0,0.0,8.2
2025-06-08,33.4,18.6,0.0,8.09
2025-06-09,31.4,16.7,0.0,8.06
2025-06-10,29.8,15.4,0.0,6.81
2025-06-11,32.0,17.1,0.0,6.55
2025-06-12,33.3,18.2,0.0,6.76
2025-06-13,34.7,18.1,0.0,7.69
2025-06-14,35.8,19.5,0.0,7.42
2025-06-15,37.4,22.0,0.0,8.31
2025-06-16,35.9,21.2,0.0,8.58
2025-06-17,30.9,19.2,0.0,7.68
2025-06-18,29.2,18.0,0.0,4.390000000000001
2025-06-19,31.2,17.9,0.30000000000000004,5.84
2025-06-20,32.8,19.2,0.0,7.5200000000000005
2025-06-21,34.2,19.5,0.0,6.91
2025-06-22,33.8,21.0,0.0,6.42
2025-06-23,34.2,20.7,0.0,7.5
2025-06-24,34.5,20.8,0.0,8.38
2025-06-25,39.2,21.9,0.0,8.01
2025-06-26,39.1,22.3,0.0,8.36
2025-06-27,33.1,19.1,0.0,7.8
2025-06-28,36.7,18.2,0.0,7.05
2025-06-29,37.7,21.2,0.0,7.21
2025-06-30,36.8,21.8,0.2,7.01
2025-07-01,36.7,21.8,1.6,5.95
2025-07-02,37.2,21.6,0.0,6.58
2025-07-03,37.0,21.5,0.0,7.65
2025-07-04,27.1,18.8,0.0,6.29
2025-07-05,28.5,18.2,0.0,5.75
2025-07-06,29.0,21.2,0.0,5.87
2025-07-07,29.0,20.6,0.5,5.92
2025-07-08,27.9,22.0,4.3,5.56
2025-07-09,28.4,22.2,0.0,5.73
2025-07-10,31.3,22.0,0.0,6.09
2025-07-11,28.4,22.2,0.0,6.58
2025-07-12,25.0,18.2,0.0,6.83
2025-07-13,26.6,17.8,0.0,5.73
2025-07-14,28.5,18.3,0.0,6.18
2025-07-15,27.6,19.5,0.0,5.9
2025-07-16,29.0,19.1,0.0,6.24
2025-07-17,29.1,20.6,0.0,6.11
2025-07-18,29.3,21.0,0.0,5.73
2025-07-19,28.8,20.5,0.0,6.29
2025-07-20,27.2,21.4,0.0,6.69
2025-07-21,26.4,19.6,0.0,5.43
2025-07-22,29.0,19.2,0.0,5.94
2025-07-23,28.9,19.8,0.0,5.69
